,Unnamed: 0,_id,url,title,address,time_start,time_end,price_start,price_end,image,score_space,score_quality,score_price,score_service,score_location,total_score_comment_for_excellent,total_score_comment_for_good,total_score_comment_for_avg,total_score_comment_for_bad,avg_score_comment,title_first_chars
4900,4900,6469fb83b1064f9440f71418,https://www.foody.vn/ha-noi/jlegu-korean-bbq-hang-chinh,"Jlegu Korean BBQ - Hàng Chĩnh ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",12 - 17 Hàng Chĩnh Quận Hoàn Kiếm Hà Nội,17:00,02:00,50.000đ ,300.000,['https://images.foody.vn/res/g22/214769/prof/s576x330/foody-mobile-11-jpg-193-635923353576521466.jpg'],['5.8'],['6.4'],['6.7'],['6.3'],['6.8'],0,11,6,3,6.4,Jlegu Korean BBQ - H
4911,4911,6469fb83b1064f9440f71423,https://www.foody.vn/ha-noi/hoa-qua-ngon-nuoc-ep-trai-cay-shop-online,"Hoa Quả Ngon & Nước Ép Trái Cây - Shop Online ở Quận Đống Đa, Hà Nội | Foody.vn","23 Ngõ 136 Trung Liệt, P. Trung Liệt Quận Đống Đa Hà Nội",07:30,21:00,30.000đ ,200.000,['https://images.foody.vn/res/g65/648169/prof/s576x330/file_restaurant_photo_nu53_16122-04059e77-210202165824.jpeg'],['6.6'],['7.1'],['7.4'],['7.1'],['7.4'],0,23,10,1,7.1,Hoa Quả Ngon & Nước 
4924,4924,6469fb83b1064f9440f71430,https://www.foody.vn/ha-noi/the-salad-republic-shop-online/binh-luan-2875062,"The Salad Republic - Shop Online ở Quận Cầu Giấy, Hà Nội | Bình luận - The Salad Republic - Shop Online | Quỳnhchi Nguyễn | Foody.vn","3 Ngõ 6 Phạm Văn Đồng (Cạnh Bộ Công An), P. Mai Dịch Quận Cầu Giấy Hà Nội",07:00,13:30,45.000đ ,67.000,['https://images.foody.vn/res/g71/707340/prof/s576x330/foody-upload-api-foody-mobile-salad-repub-jpg-180403133853.jpg'],['7.0'],['8.3'],['9.1'],['7.6'],['9.2'],8,29,1,1,8.3,The Salad Republic -
4926,4926,6469fb83b1064f9440f71432,https://www.foody.vn/ha-noi/dim-sum-corner-trung-hoa/binh-luan-15375580,"Dim Sum Corner - Trung Hòa ở Quận Cầu Giấy, Hà Nội | Bình luận - Quán mất vệ sinh | Vyvii2710 | Foody.vn","17 Trung Hòa, P. Trung Hoà Quận Cầu Giấy Hà Nội",09:30,14:00 | 17:00 ,100.000đ ,150.000,['https://images.foody.vn/res/g68/670693/prof/s576x330/foody-mobile-foody-dim-sum-corner-269-636343418525666675.jpg'],['6.1'],['7.0'],['7.0'],['6.7'],['7.3'],3,31,16,5,6.8,Dim Sum Corner - Tru
4929,4929,6469fb83b1064f9440f71435,https://www.foody.vn/ha-noi/co-tam-com-rang-an-vat-126-hong-mai/binh-luan-15394510,"Cô Tám - Cơm Rang & Cơm Tấm - 126 Hồng Mai ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Chán | maianhpham9097 | Foody.vn",126 Hồng Mai Quận Hai Bà Trưng Hà Nội,10:00,15:00 | 17:00 ,10.000đ ,59.000,['https://images.foody.vn/res/g7/68044/prof/s576x330/foody-upload-api-foody-mobile-106805830_1363912081-200907153848.jpg'],['5.3'],['5.6'],['5.7'],['5.5'],['5.7'],2,10,5,10,5.6,Cô Tám - Cơm Rang & 
4936,4936,6469fb83b1064f9440f7143c,https://www.foody.vn/ha-noi/chan-ga-rang-muoi-to-hien-thanh/binh-luan-3858478,"Chân Gà Rang Muối - Tô Hiến Thành ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Mua 2 lần và rất bực | Thu Hoài | Foody.vn",60 Tô Hiến Thành Quận Hai Bà Trưng Hà Nội,11:00,23:30,10.000đ ,45.000,['https://images.foody.vn/res/g10/97663/prof/s576x330/file_restaurant_photo_rp1w_16624-f804f9e5-220906134033.jpg'],['6.6'],['7.0'],['7.2'],['6.9'],['7.7'],0,36,7,3,7.1,Chân Gà Rang Muối - 
4938,4938,6469fb83b1064f9440f7143e,https://www.foody.vn/ha-noi/koifood-minimart-thuc-pham-nhap-khau/binh-luan-13646823,"KoiFood Minimart - Thực Phẩm Nhập Khẩu ở Quận Bắc Từ Liêm, Hà Nội | Bình luận - Món ngon - chất lượng | Thảo Triệu | Foody.vn","66 Trần Cung, P. Cổ Nhuế 1 Quận Bắc Từ Liêm Hà Nội",09:00,21:00,50.000đ ,200.000,['https://images.foody.vn/res/g109/1089725/prof/s576x330/foody-upload-api-foody-mobile-co-b138bfc3-210727131414.jpeg'],['9.8'],['9.8'],['9.8'],['9.8'],['10.0'],4,0,0,0,9.8,KoiFood Minimart - T
4940,4940,6469fb83b1064f9440f71440,https://www.foody.vn/ha-noi/hat-2-o-che-tao-pho/binh-luan-12056821,"Hắt 2 Ô - Nem Nướng Nha Trang - Xuân Thủy ở Quận Cầu Giấy, Hà Nội | Bình luận - Quá đắt và Quá ít | vitbeo | Foody.vn","13H1 Ngõ 130 Xuân Thủy, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",09:00,22:00,20.000đ ,100.000,['https://images.foody.vn/res/g16/156265/prof/s576x330/foody-upload-api-foody-mobile-ava-hat-2-o2-200707102652.jpg'],['6.2'],['6.5'],['6.7'],['6.2'],['6.8'],10,23,6,18,6.5,Hắt 2 Ô - Nem Nướng 
4941,4941,6469fb83b1064f9440f71441,https://www.foody.vn/ha-noi/ga-ran-burger-mcdonald-s-ho-guom/binh-luan-11374737,"Gà Rán & Burger McDonald's - Hồ Gươm ở Quận Hoàn Kiếm, Hà Nội | Bình luận - Dịch vụ dở tệ!!!! | hlt | Foody.vn","2 Hàng Bài, P. Tràng Tiền Quận Hoàn Kiếm Hà Nội",07:00,23:00,50.000đ ,200.000,['https://images.foody.vn/res/g71/704702/prof/s576x330/image-62caf8de-221228093309.jpeg'],['6.6'],['7.4'],['7.6'],['7.2'],['8.1'],16,64,8,12,7.4,Gà Rán & Burger McDo
4945,4945,6469fb83b1064f9440f71445,https://www.foody.vn/ha-noi/son-dong/binh-luan-3353021,"Baba Sơn Đông - Xã Đàn ở Quận Đống Đa, Hà Nội | Bình luận - Baba | Giáng Hương | Foody.vn",440 Xã Đàn Quận Đống Đa Hà Nội,10:00,14:00 | 16:00 ,300.000đ ,550.000,['https://images.foody.vn/res/g1/2971/prof/s576x330/foody-upload-api-foody-mobile-20180531_181505_627--180801084900.jpg'],['5.5'],['6.0'],['6.3'],['6.0'],['6.3'],0,3,0,1,6.0,Baba Sơn Đông - Xã Đ
4946,4946,6469fb83b1064f9440f71446,https://www.foody.vn/ha-noi/mam-quan-chan-ga-chien-mam-lau-sach/binh-luan-10527321,"Mắm Quán - Chân Gà Chiên Mắm & Lẩu Sạch ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Mắm Quán - Chân Gà Chiên Mắm & Lẩu Sạch | Nguyen Ngoc mai | Foody.vn","30 Thi Sách, P. Ngô Thì Nhậm Quận Hai Bà Trưng Hà Nội",09:00,19:00,100.000đ ,150.000,['https://images.foody.vn/res/g69/683406/prof/s576x330/foody-mobile-944-jpg-458-636390966727990644.jpg'],['8.9'],['9.0'],['9.1'],['8.9'],['9.2'],52,10,0,1,9.0,Mắm Quán - Chân Gà C
4947,4947,6469fb83b1064f9440f71447,https://www.foody.vn/ha-noi/oc-chi-le-cua-bac/binh-luan-11370635,"Ốc Chị Lệ - Cửa Bắc ở Quận Ba Đình, Hà Nội | Bình luận - Ốc Chị Lệ - Cửa Bắc | Bảo Linh Nguyễn | Foody.vn",88 Cửa Bắc Quận Ba Đình Hà Nội,14:00,22:00,15.000đ ,50.000,['https://images.foody.vn/res/g7/67370/prof/s576x330/foody-mobile-oc-jpg-802-635996945505069263.jpg'],['5.7'],['6.3'],['6.8'],['6.0'],['7.1'],3,61,50,22,6.4,Ốc Chị Lệ - Cửa Bắc 
4974,4974,6469fb83b1064f9440f71462,https://www.foody.vn/ha-noi/via-he-quan-mon-ngon-duong-pho/binh-luan-7157486,"Pop Quán - Món Ngon Đường Phố ở Quận Ba Đình, Hà Nội | Bình luận - Đồ ăn okie, giá cả phải chăng | Lan Lan Nguyễn | Foody.vn","8 Kim Mã, P. Kim Mã Quận Ba Đình Hà Nội",10:30,14:30 | 17:30 ,50.000đ ,100.000,[],['5.8'],['6.3'],['6.3'],['6.1'],['6.7'],1,9,5,3,6.2,Pop Quán - Món Ngon 
5017,5017,6469fb83b1064f9440f7148d,https://www.foody.vn/ha-noi/koi-food/binh-luan-13646824,"Koi Food ở Quận Đống Đa, Hà Nội | Bình luận - Món ăn ở đây thật tuyệt | Thảo Triệu | Foody.vn",B7 Ngõ 57 Láng Hạ Quận Đống Đa Hà Nội,09:00,22:00,50.000đ ,500.000,['https://images.foody.vn/res/g77/763271/prof/s576x330/foody-upload-api-foody-mobile-giang-jpg-180723134047.jpg'],['6.6'],['7.2'],['7.3'],['7.0'],['8.1'],4,7,1,2,7.3,Koi Food ở Quận Đống
5031,5031,6469fb83b1064f9440f7149b,https://www.foody.vn/ha-noi/quan-thai-lau-nuong/binh-luan-1798934,"Quán Thái - Lẩu Nướng ở Quận Hoàng Mai, Hà Nội | Bình luận - Bò nầm nướng chảo | Hà Minh Anh | Foody.vn",183 Lĩnh Nam (Đối Diện Ngõ 183) Quận Hoàng Mai Hà Nội,10:00,00:00,50.000đ ,300.000,['https://images.foody.vn/res/g21/207222/prof/s576x330/foody-mobile-02-jpg-553-635893192140314377.jpg'],['8.1'],['8.2'],['8.3'],['8.2'],['8.3'],3,6,0,1,8.2,Quán Thái - Lẩu Nướn
5069,5069,6469fb83b1064f9440f714c1,https://www.foody.vn/ha-noi/lau-nuong-duong-tau/binh-luan-10594860,"Lẩu Nướng Đường Tàu ở Quận Đống Đa, Hà Nội | Bình luận - Lẩu Nướng Đường Tàu | Sâu Béo | Foody.vn",298 Lê Duẩn Quận Đống Đa Hà Nội,10:00,23:59,50.000đ ,390.000,[],['7.7'],['8.2'],['8.3'],['8.0'],['8.4'],7,14,2,0,8.1,Lẩu Nướng Đường Tàu 
5078,5078,6469fb83b1064f9440f714ca,https://www.foody.vn/ha-noi/bom-nuong-nuong-lui-tai-ban/binh-luan-9100191,"Bờm Nướng - Trung Liệt ở Quận Đống Đa, Hà Nội | Bình luận - Bờm Nướng - Trung Liệt | Quỳnhchi Nguyễn | Foody.vn",135 Trung Liệt Quận Đống Đa Hà Nội,10:30,14:00 | 17:30 ,30.000đ ,80.000,[],['6.9'],['7.5'],['7.7'],['7.3'],['8.0'],5,53,10,0,7.5,Bờm Nướng - Trung Li
5113,5113,6469fb83b1064f9440f714ed,https://www.foody.vn/ha-noi/pho-ganh-hang-chieu,"Phở Gánh - Hàng Chiếu ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","Hàng Chiếu (đoạn đầu ngã tư Hàng Đường - Hàng Chiếu), P. Hàng Đào Quận Hoàn Kiếm Hà Nội",03:00,07:00,25.000đ ,40.000,['https://images.foody.vn/res/g14/139133/prof/s576x330/foody-mobile-pho-ganh-jpg-540-636071094563838211.jpg'],['5.0'],['5.5'],['6.0'],['5.1'],['6.0'],0,17,11,12,5.5,Phở Gánh - Hàng Chiế
5114,5114,6469fb83b1064f9440f714ee,https://www.foody.vn/ha-noi/van-nam-bo-nuong,"Vân - Nầm Bò Nướng ở Quận Ba Đình, Hà Nội | Foody.vn",200 Phó Đức Chính Quận Ba Đình Hà Nội,17:30,23:30,50.000đ ,150.000,['https://images.foody.vn/res/g10/98019/prof/s576x330/foody-mobile-nam-bo-nuong-jpg-994-635494969190404733.jpg'],['6.7'],['7.1'],['7.6'],['6.9'],['7.9'],2,10,0,3,7.3,Vân - Nầm Bò Nướng ở
5137,5137,6469fb83b1064f9440f71505,https://www.foody.vn/ha-noi/captain-lobster-hanoi,"Captain Lobster Hanoi ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",19 Lương Ngọc Quyến Quận Hoàn Kiếm Hà Nội,00:01,02:59 | 17:00 ,300.000đ ,1.000.000,['https://images.foody.vn/res/g89/889347/prof/s576x330/foody-upload-api-foody-mobile-tom-190524091205.jpg'],['8.4'],['8.8'],['8.9'],['8.5'],['9.3'],10,5,0,1,8.8,Captain Lobster Hano
5139,5139,6469fb83b1064f9440f71507,https://www.foody.vn/ha-noi/com-ga-ba-nga/binh-luan-6126199,"Cơm Gà Bà Nga ở Quận Hoàng Mai, Hà Nội | Bình luận - Không xứng so với giá tiền | ngvunhatanh | Foody.vn","SH6 Park 2 Times City, 458 Minh Khai, P. Mai Động Quận Hoàng Mai Hà Nội",08:30,22:00,50.000đ ,150.000,['https://images.foody.vn/res/g66/653680/prof/s576x330/foody-mobile-ttmnzjn-imgur-jpg-289-636286413957136580.jpg'],['4.4'],['5.7'],['5.9'],['4.9'],['6.9'],0,5,4,5,5.6,Cơm Gà Bà Nga ở Quận
5140,5140,6469fb83b1064f9440f71508,https://www.foody.vn/ha-noi/thoa-loi-bit-tet,"Thoa Lợi - Bít Tết ở Quận Ba Đình, Hà Nội | Foody.vn",Ngõ 12 Láng Hạ Quận Ba Đình Hà Nội,09:00,15:00,40.000đ ,50.000,['https://images.foody.vn/res/g73/726941/prof/s576x330/foody-upload-api-foody-mobile-thoa-loi-jpg-180326154638.jpg'],['6.0'],['7.0'],['7.0'],['7.0'],['8.0'],0,1,0,0,7.0,Thoa Lợi - Bít Tết ở
5142,5142,6469fb83b1064f9440f7150a,https://www.foody.vn/ha-noi/jrink-by-ruby-nuoc-ep-trai-cay-online,"Jrink By Ruby - Nước Ép Trái Cây Online ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","33 Phạm Ngũ Lão, P. Phan Chu Trinh Quận Hoàn Kiếm Hà Nội",07:00,22:00,40.000đ ,100.000,['https://images.foody.vn/res/g73/724787/prof/s576x330/foody-upload-api-foody-mobile-jrink-jpg-180410163006.jpg'],['5.8'],['6.8'],['6.9'],['5.9'],['7.3'],8,0,2,6,6.5,Jrink By Ruby - Nước
5143,5143,6469fb83b1064f9440f7150b,https://www.foody.vn/ha-noi/kombo-com-nieu-singapore-nguyen-phong-sac,"KOMBO - Cơm Niêu Singapore - Nguyễn Phong Sắc ở Quận Cầu Giấy, Hà Nội | Foody.vn","30 Nguyễn Phong Sắc, P. Dịch Vọng Quận Cầu Giấy Hà Nội",09:00,21:00,30.000đ ,110.000,[],['5.7'],['6.0'],['6.4'],['6.0'],['7.0'],4,36,31,21,6.2,KOMBO - Cơm Niêu Sin
5144,5144,6469fb83b1064f9440f7150c,https://www.foody.vn/ha-noi/nuoc-mia-tran-chau-hang-vai,"Nước Mía Trân Châu - Hàng Vải ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",Hàng Vải Quận Hoàn Kiếm Hà Nội,08:00,22:30,13.000đ ,15.000,['https://images.foody.vn/res/g2/19215/prof/s576x330/foody-mobile-nuoc-mia-jpg-886-636026227481883787.jpg'],['6.1'],['6.8'],['7.0'],['6.6'],['7.2'],4,49,38,7,6.7,Nước Mía Trân Châu -
5145,5145,6469fb83b1064f9440f7150d,https://www.foody.vn/ha-noi/royaltea-luong-yen,"Royaltea - Lương Yên ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Hanoi Creative City, 1 Lương Yên, P. Bạch Đằng Quận Hai Bà Trưng Hà Nội",07:00,22:00,30.000đ ,60.000,['https://images.foody.vn/res/g75/741416/prof/s576x330/foody-upload-api-foody-mobile-royaltea-jpg-180524143049.jpg'],['7.7'],['7.8'],['7.8'],['7.7'],['8.0'],41,22,4,16,7.8,Royaltea - Lương Yên
5158,5158,6469fb83b1064f9440f7151a,https://www.foody.vn/ha-noi/homie-shop-banh-ngot-hoang-hoa-tham,"Homie Shop - Bánh Ngọt - Hoàng Hoa Thám ở Quận Ba Đình, Hà Nội | Foody.vn","3a Ngách 173/63 Hoàng Hoa Thám, P. Ngọc Hà Quận Ba Đình Hà Nội",00:01,23:59,20.000đ ,180.000,['https://images.foody.vn/res/g110/1090634/prof/s576x330/foody-upload-api-foody-mobile-ba-6def93ef-210729215037.jpeg'],['10.0'],['10.0'],['10.0'],['10.0'],['10.0'],2,0,0,0,10.0,Homie Shop - Bánh Ng
5159,5159,6469fb83b1064f9440f7151b,https://www.foody.vn/ha-noi/le-hoi-am-thuc-chau-a-coca-cola,"Lễ Hội Ẩm Thực Châu Á Coca-Cola ở Quận Ba Đình, Hà Nội | Foody.vn","Sân Vận Động Quần Ngựa, 30 Văn Cao Quận Ba Đình Hà Nội",09:00,22:00,30.000đ ,50.000,['https://images.foody.vn/res/g72/712991/prof/s576x330/foody-upload-api-foody-mobile-960x550-ava-microsit-190103173609.jpg'],['9.0'],['9.0'],['9.0'],['9.0'],['10.0'],1,0,0,0,9.2,Lễ Hội Ẩm Thực Châu 
5160,5160,6469fb83b1064f9440f7151c,https://www.foody.vn/ha-noi/cho-thai-ha,"Chợ Thái Hà ở Quận Đống Đa, Hà Nội | Foody.vn",Trần Quang Diệu Quận Đống Đa Hà Nội,05:00,19:00,5.000đ ,50.000,['https://images.foody.vn/res/g65/648456/prof/s576x330/foody-mobile-cho-th-jpg-336-636266515485989088.jpg'],['6.0'],['7.0'],['9.0'],['6.0'],['9.0'],0,1,0,0,7.4,Chợ Thái Hà ở Quận Đ
5161,5161,6469fb83b1064f9440f7151d,https://www.foody.vn/ha-noi/cho-hoa-quang-an-,"Chợ Hoa Quảng An ở Quận Tây Hồ, Hà Nội | Foody.vn","Âu Cơ, P. Quảng An Quận Tây Hồ Hà Nội",07:00,22:00,50.000đ ,150.000,['https://images.foody.vn/res/g23/221028/prof/s576x330/foody-mobile-foody-checkin-cho-ho-437-635942515339177458.jpg'],['5.5'],['7.0'],['7.5'],['6.0'],['7.5'],0,1,1,0,6.7,Chợ Hoa Quảng An ở Q
5162,5162,6469fb83b1064f9440f7151e,https://www.foody.vn/ha-noi/cho-hoang-van-thai,"Chợ Hoàng Văn Thái ở Quận Thanh Xuân, Hà Nội | Foody.vn",Ngõ 69B Hoàng Văn Thái Quận Thanh Xuân Hà Nội,06:00,18:00,2.500đ ,50.000,['https://images.foody.vn/res/g27/265813/prof/s576x330/foody-mobile-cho-jpg-589-636065957830556833.jpg'],['4.7'],['7.7'],['8.3'],['7.7'],['9.0'],0,3,0,0,7.5,Chợ Hoàng Văn Thái ở
5164,5164,6469fb83b1064f9440f71520,https://www.foody.vn/ha-noi/nom-bo-kho-do-an-vat-luong-dinh-cua,"Nộm Bò Khô & Đồ Ăn Vặt - Lương Định Của ở Quận Đống Đa, Hà Nội | Foody.vn","B15 Lương Định Của, P. Kim Liên Quận Đống Đa Hà Nội",14:00,19:00,6.000đ ,20.000,['https://images.foody.vn/res/g65/648858/prof/s576x330/foody-mobile-cuonnroll_006nom-bo--128-636268125284203565.jpg'],['7.1'],['7.7'],['7.9'],['7.7'],['7.9'],1,11,0,1,7.6,Nộm Bò Khô & Đồ Ăn V
5180,5180,6469fb83b1064f9440f71530,https://www.foody.vn/ha-noi/deliverynow-ha-noi,"DeliveryNow Hà Nội ở Quận Đống Đa, Hà Nội | Foody.vn","Tầng 3,  101 Láng Hạ 
                                    ",08:00,20:00,100.000đ ,500.000,['https://images.foody.vn/res/g24/237307/prof/s576x330/foody-mobile-deli-jpg-288-636080659021345456.jpg'],['6.4'],['6.7'],['6.7'],['6.6'],['6.9'],4,53,12,15,6.7,DeliveryNow Hà Nội ở
5181,5181,6469fb83b1064f9440f71531,https://www.foody.vn/ha-noi/nom-ong-gia-nghia-tan/binh-luan-3929265,"Nộm Ông Phúc - Nghĩa Tân ở Quận Cầu Giấy, Hà Nội | Bình luận - Nộm Ông Phúc - Nghĩa Tân | Ultra Ngáo | Foody.vn","Ngõ 1 Nghĩa Tân, P. Nghĩa Tân Quận Cầu Giấy Hà Nội",14:00,19:00,20.000đ ,50.000,['https://images.foody.vn/res/g19/183277/prof/s576x330/foody-upload-api-foody-mobile-nom-1-jpg-180615163827.jpg'],['6.7'],['7.7'],['7.7'],['7.5'],['7.9'],2,4,5,0,7.5,Nộm Ông Phúc - Nghĩa
5182,5182,6469fb83b1064f9440f71532,https://www.foody.vn/ha-noi/it-cream-bakery-thanh-nhan,"Tiệm Bánh IT - Thanh Nhàn ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",1 Thanh Nhàn Quận Hai Bà Trưng Hà Nội,07:00,22:30,40.000đ ,300.000,['https://images.foody.vn/res/g24/236384/prof/s576x330/foody-mobile-13239101_80043207672-485-635990913796922701.jpg'],['5.9'],['6.9'],['7.0'],['6.6'],['7.2'],1,8,5,2,6.7,Tiệm Bánh IT - Thanh
5183,5183,6469fb83b1064f9440f71533,https://www.foody.vn/ha-noi/thu-diu-shop,"Thu Dịu Shop - Tinh Dầu Tràm & Bột Nghệ - Shop Online ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","123B Tập Thể Dệt Kim Đông Xuân, Thọ Lão, P. Đồng Nhân Quận Hai Bà Trưng Hà Nội",09:00,21:00,150.000đ ,750.000,['https://images.foody.vn/res/g78/775006/prof/s576x330/foody-upload-api-foody-mobile-8-jpg-180905155534.jpg'],['8.5'],['9.0'],['9.0'],['8.8'],['10.0'],3,1,0,0,9.1,Thu Dịu Shop - Tinh 
5184,5184,6469fb83b1064f9440f71534,https://www.foody.vn/ha-noi/mi-tron-indomie-chi-pheo-shop-online,"Mì Trộn Indomie Chí Phèo - Shop Online ở Quận Ba Đình, Hà Nội | Foody.vn","67 Phạm Hồng Thái, P. Trúc Bạch Quận Ba Đình Hà Nội",07:00,22:30,10.000đ ,55.000,['https://images.foody.vn/res/g98/971294/prof/s576x330/foody-upload-api-foody-mobile-avata-my-lac-long-qu-191022133346.jpg'],['10.0'],['10.0'],['10.0'],['10.0'],['10.0'],1,0,0,0,10.0,Mì Trộn Indomie Chí 
5185,5185,6469fb83b1064f9440f71535,https://www.foody.vn/ha-noi/ohdear-box-gift-box-online,"Ohdear Box - Gift Box Online ở Quận Đống Đa, Hà Nội | Foody.vn",Lương Định Của Quận Đống Đa Hà Nội,09:00,21:00,50.000đ ,500.000,['https://images.foody.vn/res/g91/906683/prof/s576x330/foody-upload-api-foody-mobile-gb-190608090807.jpg'],['7.0'],['7.0'],['8.0'],['7.0'],['9.0'],0,1,0,0,7.6,Ohdear Box - Gift Bo
5186,5186,6469fb83b1064f9440f71536,https://www.foody.vn/ha-noi/korean-drink-soju-beer-online,"Korean Drink - Soju & Beer Online ở Quận Ba Đình, Hà Nội | Foody.vn","52B Hàng Bún, P. Quán Thành Quận Ba Đình Hà Nội",09:00,22:00,50.000đ ,300.000,['https://images.foody.vn/res/g88/877259/prof/s576x330/foody-upload-api-foody-mobile-7-190107143007.jpg'],['10.0'],['10.0'],['10.0'],['10.0'],['10.0'],1,0,0,0,10.0,Korean Drink - Soju 
5187,5187,6469fb83b1064f9440f71537,https://www.foody.vn/ha-noi/tutea-tra-bi-dao-thuy-khue,"TuTea - Trà Bí Đao - Thụy Khuê ở Quận Tây Hồ, Hà Nội | Foody.vn","69B Thụy Khuê, Nội Khu Toà Nhà Sungrandcity, P. Thụy Khuê Quận Tây Hồ Hà Nội",09:00,22:00,15.000đ ,100.000,['https://images.foody.vn/res/g110/1090881/prof/s576x330/file_restaurant_photo_pesm_16298-d85189e1-210825150846.jpeg'],['10.0'],['10.0'],['10.0'],['10.0'],['10.0'],1,0,0,0,10.0,TuTea - Trà Bí Đao -
5188,5188,6469fb83b1064f9440f71538,https://www.foody.vn/ha-noi/thit-trau-thit-lon-gac-bep-tay-bac-shop-online,"Thịt Trâu & Thịt Lợn Gác Bếp Tây Bắc - Shop Online ở Quận Thanh Xuân, Hà Nội | Foody.vn",104 Lương Thế Vinh Quận Thanh Xuân Hà Nội,09:00,21:00,165.000đ ,750.000,['https://images.foody.vn/res/g88/872328/prof/s576x330/foody-upload-api-foody-mobile-1-jpg-181227101954.jpg'],['9.0'],['10.0'],['10.0'],['10.0'],['10.0'],1,0,0,0,9.8,Thịt Trâu & Thịt Lợn
5189,5189,6469fb83b1064f9440f71539,https://www.foody.vn/ha-noi/nem-tuoi-nha-em-hoang-van-thai,"Nem Tươi Nhà Em - Hoàng Văn Thái ở Quận Thanh Xuân, Hà Nội | Foody.vn","56/71 Hoàng Văn Thái, P. Khương Trung Quận Thanh Xuân Hà Nội",10:00,19:00,120.000đ ,165.000,['https://images.foody.vn/res/g109/1087158/prof/s576x330/file_restaurant_photo_7ehq_16268-f436b558-210721153323.jpeg'],['7.0'],['10.0'],['10.0'],['8.0'],['10.0'],1,0,0,0,9.0,Nem Tươi Nhà Em - Ho
5190,5190,6469fb83b1064f9440f7153a,https://www.foody.vn/ha-noi/banh-trung-thu-sis-cake-shop-online,"Bánh Trung Thu Sis' Cake - Shop Online ở Quận Ba Đình, Hà Nội | Foody.vn",5B Hoè Nhai Quận Ba Đình Hà Nội,07:30,21:30,30.000đ ,200.000,['https://images.foody.vn/res/g27/266158/prof/s576x330/foody-mobile-13892367_11631613770-156-636072150267778866.jpg'],['7.0'],['7.5'],['7.5'],['7.0'],['7.5'],0,2,0,0,7.3,Bánh Trung Thu Sis' 
5191,5191,6469fb83b1064f9440f7153b,https://www.foody.vn/ha-noi/hai-san-sach-shop-online,"Hải Sản Sạch – Shop Online ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","23 Ngõ 8/3 Ngõ Gốc Đề, Minh Khai Quận Hai Bà Trưng Hà Nội",08:00,22:00,70.000đ ,350.000,['https://images.foody.vn/res/g88/872434/prof/s576x330/foody-upload-api-foody-mobile-1-jpg-181227102256.jpg'],['9.3'],['10.0'],['10.0'],['9.3'],['10.0'],3,0,0,0,9.7,Hải Sản Sạch – Shop 
5193,5193,6469fb83b1064f9440f7153d,https://www.foody.vn/ha-noi/hien-vinh-food-pho-tron-shop-online,"Phở Hiển Vinh - Phở Nước & Trộn Bò Gà ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","3 Ngõ 158 Hồng Mai, P. Bạch Mai Quận Hai Bà Trưng Hà Nội",07:30,13:00,35.000đ ,70.000,['https://images.foody.vn/res/g98/976988/prof/s576x330/foody-upload-api-foody-mobile-cbc38c35-ba28-4ce0-9-200325095409.jpg'],['8.0'],['9.2'],['9.6'],['9.0'],['10.0'],4,1,0,0,9.2,Phở Hiển Vinh - Phở 
5194,5194,6469fb83b1064f9440f7153e,https://www.foody.vn/ha-noi/lion-king-karaoke/binh-luan-909503,"Lion King Karaoke ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Lion King Karaoke | Puby Trieu 🍧 | Foody.vn",109 Kim Ngưu Quận Hai Bà Trưng Hà Nội,09:00,23:30,100.000đ ,165.000,['https://images.foody.vn/res/g2/12026/prof/s576x330/foody-mobile-lion-king-karaoke-ha-noi.jpg'],['4.0'],['4.5'],['5.0'],['4.0'],['5.5'],0,1,0,1,4.6,Lion King Karaoke ở 
5197,5197,6469fb83b1064f9440f71541,https://www.foody.vn/ha-noi/thanh-hai-nom-bo-kho/binh-luan-6677388,"Thanh Hải - Nộm Bò Khô ở Quận Hoàn Kiếm, Hà Nội | Bình luận - Nộm và bánh bột lọc | im.linng | Foody.vn","23 Hồ Hoàn Kiếm, P. Hàng Bạc Quận Hoàn Kiếm Hà Nội",09:00,21:30,20.000đ ,50.000,['https://images.foody.vn/res/g21/205887/prof/s576x330/foody-mobile-12509416_59360368078-181-635888233214096475.jpg'],['6.4'],['7.4'],['7.9'],['6.5'],['8.5'],0,7,3,0,7.3,Thanh Hải - Nộm Bò K
